indic_is,ind_type,unit,geo\time	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 
I_IUMD,I3_4,PC_IND,IE	53.36 	62.15 	69.01 	73.83 	72.28 	79.43 	81.13 	86.01 
I_IUMD,I3_4,PC_IND,IS	57.74 	58.75 	64.89 	: 	: 	85.31 	82.39 	84.07 
I_IUMD,I3_4,PC_IND,IT	21.13 	24.69 	29.47 	30.51 	33.79 	38.04 	45.02 	56.65 
I_IUMD,I3_4,PC_IND,LT	12.95 	17.52 	21.50 	26.09 	30.34 	39.95 	48.93 	57.25 
I_IUMD,I3_4,PC_IND,LU	65.78 	69.19 	69.54 	83.75 	77.82 	79.77 	87.19 b	88.52 
I_IUMD,I3_4,PC_IND,LV	20.23 	26.71 	27.32 	37.81 	39.86 b	48.80 	49.64 b	60.42 
I_IUMD,I3_4,PC_IND,ME	30.90 	: 	: 	: 	: 	63.67 	70.89 	70.08 
I_IUMD,I3_4,PC_IND,MK	18.16 	30.29 	43.63 	58.85 	61.83 	69.07 	62.69 	75.75 
I_IUMD,I3_4,PC_IND,MT	63.90 	62.38 	70.62 	81.05 	83.51 	83.91 	80.28 	90.00 
I_IUMD,I3_4,PC_IND,NL	57.75 	68.08 	70.93 	79.51 	81.64 	89.12 	89.44 	91.74 
I_IUMD,I3_4,PC_IND,NO	68.92 	72.76 	73.57 	78.32 	73.29 	82.69 	84.82 	89.78 
I_IUMD,I3_4,PC_IND,PL	16.12 	23.90 	28.29 	35.87 	24.01 	30.97 	40.55 	51.62 
I_IUMD,I3_4,PC_IND,PT	39.56 	38.66 	58.63 	66.45 	77.49 	82.02 	83.27 	84.08 
I_IUMD,I3_4,PC_IND,RO	5.73 	13.61 	23.86 b	37.20 	44.50 	54.26 	57.71 	71.85 
I_IUMD,I3_4,PC_IND,RS	: 	: 	: 	45.71 	: 	61.16 	66.04 	70.05 
I_IUMD,I3_4,PC_IND,SE	68.80 	72.32 	74.64 	77.05 	82.18 b	87.73 	90.12 	94.35 
